nodeID,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36,iter_37,iter_38,iter_39,iter_40,iter_41,iter_42,iter_43,iter_44,iter_45,iter_46,iter_47,iter_48,iter_49,iter_50,iter_51,iter_52,iter_53,iter_54,iter_55,iter_56,iter_57,iter_58,iter_59,iter_60,iter_61,iter_62,iter_63,iter_64,iter_65,iter_66,iter_67,iter_68,iter_69,iter_70,iter_71,iter_72,iter_73,iter_74,iter_75,iter_76,iter_77,iter_78,iter_79,iter_80,iter_81,iter_82,iter_83,iter_84,iter_85,iter_86,iter_87,iter_88,iter_89,iter_90,iter_91,iter_92,iter_93,iter_94,iter_95,iter_96,iter_97,iter_98,iter_99,iter_100
81,N,N,13,3,8,5,N,9,N,N,N,N,7,9,9,8,8,0,6,7,N,3,1,9,N,1,N,N,N,N,8,1,N,6,10,1,15,7,N,5,N,0,5,14,1,10,13,N,13,1,11,1,11,13,N,N,10,N,4,1,8,N,N,N,9,0,N,10,11,17,N,N,7,6,N,12,N,N,8,1,N,N,N,N,N,4,13,15,9,8,11,N,10,10,1,N,N,8,0,8
82,N,N,13,5,10,7,N,11,N,N,N,5,1,10,10,9,7,1,7,8,N,8,8,6,N,7,N,N,N,N,8,5,N,7,0,14,14,6,1,7,N,N,3,14,4,10,13,N,14,3,12,4,14,13,N,N,11,N,4,7,9,N,0,N,8,9,N,1,13,17,N,1,9,6,N,8,N,N,9,11,0,N,N,N,N,1,13,16,10,9,12,N,11,11,5,N,N,9,N,11
83,N,N,13,5,7,6,N,7,N,N,0,N,10,8,7,6,8,13,4,5,N,7,8,8,N,5,N,N,N,N,7,3,N,5,7,14,13,4,N,6,N,N,3,11,4,11,12,N,13,0,9,5,12,9,0,N,7,N,5,7,8,N,N,0,1,8,N,9,10,11,N,N,6,3,N,10,N,N,3,12,N,N,N,N,N,3,13,10,8,8,6,N,5,9,5,N,N,6,N,7
84,N,N,12,4,0,5,N,9,2,N,N,N,7,7,9,8,5,13,3,0,N,8,8,7,N,7,N,N,N,N,1,5,N,3,9,15,13,5,N,7,N,N,4,12,4,10,12,N,12,5,10,6,14,10,N,N,0,N,4,7,8,N,N,N,5,7,N,10,11,17,N,N,7,4,N,0,N,N,6,13,N,N,N,N,N,2,13,7,8,9,9,N,9,9,4,N,N,8,N,9
85,N,N,12,2,8,7,N,8,N,N,N,N,10,8,6,8,8,12,4,5,N,7,8,8,N,6,N,N,N,N,2,4,N,6,6,14,13,3,N,0,N,N,5,14,4,10,10,N,12,2,10,6,11,10,N,N,9,N,4,7,7,N,N,N,6,9,N,9,10,12,N,N,7,5,N,0,N,N,2,12,N,N,N,N,N,4,12,11,8,7,5,0,7,9,5,0,0,5,N,7
86,N,N,8,4,8,8,N,6,N,N,N,N,1,9,6,9,6,8,6,7,N,7,7,8,N,0,N,N,N,N,7,4,N,7,6,10,13,4,N,8,N,N,4,9,5,11,10,N,12,2,5,0,10,7,N,N,8,N,6,7,7,N,N,N,5,9,N,8,9,16,N,N,0,0,N,9,N,N,4,13,N,N,N,N,N,5,10,12,7,6,8,N,8,8,6,N,N,4,N,7
87,N,7,12,6,9,8,N,7,N,N,N,N,9,6,8,10,8,10,5,5,N,7,8,5,N,6,0,N,N,N,8,5,N,5,7,0,13,5,N,7,N,N,5,13,4,12,10,N,6,5,8,6,8,8,6,N,7,N,5,1,0,N,N,N,1,7,N,9,11,15,N,N,3,6,N,10,N,N,7,12,N,N,N,N,N,5,12,9,1,5,0,N,0,9,6,N,N,7,N,7
88,N,N,12,3,8,4,N,7,N,N,0,N,9,9,1,3,8,12,7,0,N,7,3,7,0,3,N,N,N,N,8,4,N,7,8,0,14,8,0,6,N,N,6,10,0,12,1,N,13,1,9,6,13,13,N,0,10,N,3,7,2,N,N,N,0,11,0,9,11,17,N,N,8,1,1,10,N,N,7,13,N,N,N,N,0,3,13,13,10,0,12,N,11,11,1,N,N,7,N,8
89,N,N,10,4,0,7,0,9,N,N,N,N,0,8,8,9,7,12,3,5,N,8,7,9,N,6,N,N,N,N,8,5,N,6,7,14,11,5,N,7,N,N,4,12,3,12,12,N,13,3,4,5,10,0,4,N,9,N,6,7,8,N,N,N,8,10,N,9,11,17,N,N,5,6,N,10,N,N,8,12,0,N,N,N,N,5,12,13,4,3,8,N,5,9,6,N,N,5,N,9
90,N,N,10,3,9,6,N,9,N,0,N,1,10,7,7,0,8,12,6,3,2,6,4,8,N,7,N,N,N,N,7,6,N,3,9,14,15,6,N,8,N,N,5,11,3,12,0,N,10,5,0,5,0,6,N,1,10,N,6,3,3,N,N,1,6,10,N,7,0,16,N,N,6,1,N,9,N,N,0,14,N,N,N,N,N,5,0,0,2,8,4,N,9,11,5,N,N,5,N,0
91,N,N,11,5,7,8,N,8,N,N,N,N,9,8,9,8,8,11,6,6,N,9,7,9,N,7,N,N,N,0,7,6,N,6,8,14,12,5,N,8,N,N,0,12,2,11,11,N,10,4,2,6,9,9,7,2,10,N,6,7,8,N,N,N,7,6,N,8,12,16,N,N,7,5,N,9,N,N,7,14,2,N,N,N,N,5,11,12,5,8,0,N,9,10,7,N,N,0,1,8
92,N,N,10,5,9,8,N,8,N,N,N,N,11,9,8,9,9,9,5,6,0,9,7,9,N,7,N,N,N,0,8,5,N,7,8,13,9,5,N,9,N,N,4,0,5,11,9,N,11,4,1,7,8,10,10,0,9,N,6,8,7,N,N,N,8,9,N,7,11,14,N,N,6,6,N,5,N,N,5,13,N,0,N,N,N,2,9,12,5,8,5,N,8,10,6,N,N,2,N,8
93,N,N,11,4,10,7,N,7,N,N,N,N,9,0,8,9,8,11,3,0,N,8,8,9,N,7,N,N,N,N,8,6,N,5,6,13,12,5,N,7,N,N,1,13,3,12,9,N,12,2,3,6,9,9,0,N,8,N,5,7,8,N,N,N,3,8,N,8,12,14,N,N,6,6,N,8,N,N,0,13,0,N,N,N,N,5,11,13,7,7,4,N,9,8,6,N,N,6,N,8
94,N,1,12,5,10,7,N,0,N,N,N,N,9,7,9,9,7,12,4,6,N,8,8,6,N,7,N,N,N,N,4,7,N,4,9,13,13,5,N,8,N,N,3,13,5,8,10,N,12,3,4,6,10,10,7,N,10,N,6,8,3,N,N,N,7,9,N,8,13,13,N,N,6,6,N,7,N,N,7,13,N,N,N,N,N,2,10,12,0,8,6,N,8,9,6,N,N,6,N,9
95,N,2,12,6,10,8,N,1,N,N,N,N,0,8,1,10,8,0,5,5,N,8,0,7,N,6,N,N,N,N,5,6,1,0,1,12,14,6,0,9,N,N,4,14,1,0,11,N,13,1,5,7,11,11,6,N,11,N,7,7,2,N,N,N,1,10,N,1,13,14,N,N,5,6,N,8,N,N,8,14,N,N,N,0,N,0,11,13,1,8,4,N,9,10,6,N,N,7,N,1
96,N,N,13,1,11,2,N,2,N,N,N,N,10,10,10,3,8,13,7,7,N,7,5,8,N,6,N,N,N,N,7,4,N,7,0,13,14,9,N,6,N,N,4,15,4,11,1,N,15,1,9,6,1,14,N,N,10,1,1,6,1,N,N,N,9,11,N,10,13,16,N,N,8,1,1,12,N,N,7,12,N,N,N,N,0,1,0,13,10,9,12,N,10,12,1,N,N,8,N,10
97,N,N,11,6,5,6,N,7,N,N,N,N,9,7,1,10,8,10,5,3,1,9,8,1,N,8,1,N,N,N,9,6,1,8,6,14,10,5,N,9,N,N,5,0,6,12,12,N,9,5,9,6,12,11,6,1,10,N,7,7,2,N,N,N,1,10,N,8,12,15,N,N,5,6,N,11,N,N,6,1,N,0,N,N,N,5,10,13,4,8,4,N,9,10,7,N,N,3,0,1
98,N,N,10,5,10,8,N,7,N,N,N,N,2,3,7,9,9,9,5,5,1,8,6,8,N,6,N,N,N,N,9,5,N,7,7,12,11,5,N,9,N,N,3,12,4,12,10,N,11,1,0,6,0,10,7,N,9,N,6,7,7,N,N,N,4,10,N,9,12,15,N,N,1,6,N,7,N,N,1,14,N,N,N,N,N,3,12,13,6,7,5,N,7,8,7,N,N,3,N,7
